Nome;Descrizione;Prezzo;Colore;Azienda;Sede;Immagine;Rimasti
YogaMat Pro;Tappetino da yoga antiscivolo in gomma naturale;€50;Verde acqua;AsanaSport;Nuova Delhi, India;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkNM1nx1RtDt2Kp3q3MMYrU_STAaq8gR_0mg&s;10
SunScreen 50+;Crema solare protettiva per pelli sensibili;€18;Bianco;DermaProtect;Madrid, Spagna;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3aeYp5UNZNBvQcmcKWZIQ5mS6OAiCbisxGQ&s;4
MassageGun;Pistola per massaggio muscolare a percussione;€99;Nero opaco;FitRecover;Los Angeles, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYC_P3YO_M6Kmpk67r2nMr8eRIJoVTwVohYQ&s;7
HerbalBath;Sali da bagno rilassanti alla lavanda;€12;Viola chiaro;AlpiErbe;Trento, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI0UJ5TloRYGKXxRZZKyfAy-5wKd0zluD4Hg&s;7
NailKit;Set manicure professionale in astuccio di velluto;€25;Custodia nera;SteelStyles;Solingen, Germania;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6K5P9Ct7VAGwDE1EEWBBW-DaBmtn1oIEYOg&s;7
NoteBook A5;Taccuino a righe con copertina rigida in similpelle;€14;Blu petrolio;CartaInsieme;Fabriano, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAjrogMet77r6v7NPdEvEABlIolzgMwm2uVQ&s;3
InkPen Pro;Penna stilografica con dettagli dorati;€45;Nero lucido;SchreibArt;Amburgo, Germania;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKzVBmbui3JE1_R_XggVNis8R3FYtKuqWdmA&s;4
FitBand;Elastici di resistenza per allenamento a casa;€16;Giallo/Rosso/Blu;PowerGym;Chicago, USA;https://m.media-amazon.com/images/I/61Zmq5fUvXL._AC_UF1000,1000_QL80_.jpg;2
CampTent 3;Tenda da campeggio autoventilante per 3 persone;€129;Verde e grigio;OutDoorLife;Vancouver, Canada;https://media.adeo.com/mkp/4655eaec23846173ca3d6623156b5127/media.jpg?width=650&height=650&format=jpg&quality=80&fit=bounds;9
WaterBott 1L;Bottiglia d'acqua riutilizzabile in vetro borosilicato;€19;Custodia rosa;PureH2O;Vienna, Austria;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCy_8jB2tRoPaoUNyDEmoMhEB0cED18yt3Vw&s;5
SketchPad;Blocco da disegno per artisti a grana fine;€18;Copertina kraft;ArtStudio;Bruxelles, Belgio;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx9t_lEbdtd9SayEcQjuzuNtz0p25GgnQUgA&s;10
PadelRacket;Racchetta da padel in fibra di carbonio;€160;Nero e giallo fluo;SmashSport;Valencia, Spagna;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrYaWrP3wmpKZtLOa6F6qIgeUXmWfvPWiYWA&s;2
TravelPillow;Cuscino da viaggio gonfiabile per il collo;€15;Grigio scuro;FlyComfort;Atlanta, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0XO70cgHo3s-yK1_XJoip3u3nxpCwXISOTw&s;1
DeskMat;Sottomano da scrivania in feltro di lana;€22;Grigio antracite;FeltDesign;Helsinki, Finlandia;https://m.media-amazon.com/images/I/712etnjh1VL.jpg;4
BackLight;Luce posteriore a LED ricaricabile per bicicletta;€13;Luce rossa;CityBike Co.;Copenaghen, Danimarca;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-CmJJMjw9cU_6VveCo_ntquZzNdNYDRpBEg&s;7
